"Region;""Schadstoff"";""Einheit"";""NFR_Code"";""NFR_Sektor"";""Quelle"";""Datenstand"";""Jahr"";""Werte""",,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1990"";12",0918444014628,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1991"";11",3.98871E+12,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1992"";8",8.67857E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1993"";7",6.28344E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1994"";6",5.13113E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1995"";7",7.02297E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1996"";6",9.4104E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1997"";7",7.75481E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1998"";6",6.19356E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1999"";6",5.86907E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2000"";7",06934641200691,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2001"";8",4.93697E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2002"";7",9.97077E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2003"";9",7.81876E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2004"";9",7.36637E+12,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2005"";10",1.88089E+11,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2006"";10",3.46759E+11,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2007"";10",5.8847E+12,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2008"";11",0156871526024,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2009"";9",9.1326E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2010"";11",1.0489E+12,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2011"";10",7.85171E+12,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2012"";10",6.61009E+12,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2013"";9",9.13918E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2014"";9",4.50166E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2015"";10",0534584275665,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2016"";9",3.02265E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2017"";10",0478248403122,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2018"";9",1.49438E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2019"";8",4.94742E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2020"";8",1.39966E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2021"";7",9.69507E+13,,
"AT;""NOX"";""kt"";""1 A 1 a"";""Public Electricity and Heat Production"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2022"";7",7.28388E+13,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1990"";4",317305,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1991"";4",317056,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1992"";4",188119,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1993"";3",398987,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1994"";3",413967,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1995"";3",384,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1996"";3",479,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1997"";3",471,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1998"";3",362,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""1999"";3",247,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2000"";3",07,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2001"";3",304,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2002"";3",44,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2003"";3",344,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2004"";3",437,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2005"";3",051,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2006"";3",389,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2007"";3",051,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2008"";1",203,,
